"","school_id","school_nm","grade_cat","y","sch_type","sch_addr","x","grades","coords.x1","coords.x2","govern","common_name","year","total","total_hs","g09","g10","g11","g12","decliners"
"1","400010","ACE TECHNICAL CHTR HS","HS",41.79612151,"Charter","5410 S State St, 60609",-87.6258490371,"9, 10, 11, 12",-87.6258490365583,41.796121509566,"charter","ACE Tech Chtr HS",2006,272,272,149,123,NA,NA,FALSE
"2","400015","ASPIRA CHTR - RAMIREZ HS","HS",41.9124976075,"Charter","1711 N California Ave, 60647",-87.6955218301,"12",-87.6955218305423,41.9124976068766,"charter","ASPIRA Chrtr - Ramirez",2006,863,341,125,97,119,NA,FALSE
"3","400025","CICS - BUCKTOWN","ES",41.9224146303,"Charter","2235 N Hamilton Ave, 60647",-87.6813579646,"K, 1, 2, 3, 4, 5, 6, 7, 8",-87.6813579649473,41.9224146291148,"charter","Chgo Intl Chrt - Bucktown",2006,5452,897,290,253,228,126,FALSE
"4","400035","CHGO MATH & SCI ACAD CHTR HS","HS",42.0130314901,"Charter","7212 N Clark St, 60626",-87.6748184179,"6, 7, 8, 9, 10, 11, 12",-87.6748184183788,42.0130314889806,"charter","Chgo Math/Sci Chtr",2006,304,77,77,NA,NA,NA,FALSE
"5","400051","NOBLE CHTR - NOBLE","HS",41.900190521,"Charter","1010 N Noble St, 60642",-87.6626277817,"9, 10, 11, 12",-87.6626277822452,41.9001905203633,"charter","Noble St. Chrtr HS",2006,480,480,159,139,88,94,FALSE
"6","400058","NTH LAWNDALE CHTR - CHRISTIANA","HS",41.8585635545,"Charter","1615 S. Christiana Ave., 60623",-87.7089871107,"9, 10, 11, 12",-87.7089871111773,41.8585635533946,"charter","North Lawndale Chrtr",2006,389,389,120,108,72,89,FALSE
"7","400064","PERSPECTIVES CHTR - JOSLIN","HS",41.855999105,"Charter","1930 S Archer Ave, 60616",-87.6285309013,"6, 7, 8, 9, 10, 11, 12",-87.6285309007454,41.8559991044101,"charter","Perspectives Chrtr H",2006,322,186,54,54,54,24,FALSE
"8","400072","SHABAZZ CHTR - SHABAZZ","ES",41.7524584893,"Charter","7823 S Ellis Ave, 60619",-87.6002545537,"K, 1, 2, 3, 4, 5, 6, 7, 8",-87.6002545532186,41.7524584883478,"charter","Shabazz Charter",2006,552,116,116,NA,NA,NA,FALSE
"9","400087","YOUNG WOMEN'S LEADERSHIP CHTR","HS",41.8445438065,"Charter","2641 S Calumet Ave, 60616",-87.6187237962,"7, 8, 9, 10, 11, 12",-87.6187237963104,41.8445438055429,"charter","Yng Women Ldrshp Chrt",2006,333,236,74,73,46,43,FALSE
"10","609674","CHICAGO VOCATIONAL HS","HS",41.7371739343,"District","2100 E 87th St, 60617",-87.5732675156,"9, 10, 11, 12",-87.5732675156807,41.7371739335817,"regular","Chicago Voc HS",2006,2030,2030,581,575,537,337,TRUE
"11","609676","DUNBAR HS","HS",41.8402255721,"District","3000 S King Dr, 60616",-87.6176374351,"9, 10, 11, 12",-87.6176374346032,41.8402255716819,"regular","Dunbar Voc HS",2006,1627,1627,424,649,314,240,TRUE
"12","609678","JONES HS","HS",41.8730659236,"District","700 S State St, 60605",-87.6276753225,"9, 10, 11, 12",-87.6276753229166,41.8730659228255,"regular","Jones CPHS",2006,734,734,153,209,215,157,FALSE
"13","609679","PROSSER HS","HS",41.9200594001,"District","2148 N Long Ave, 60639",-87.7610483155,"9, 10, 11, 12",-87.7610483156156,41.9200593989979,"regular","Prosser HS",2006,1383,1383,377,373,326,307,FALSE
"14","609680","PAYTON HS","HS",41.9015751701,"District","1034 N Wells St, 60610",-87.6353847656,"9, 10, 11, 12",-87.6353847656341,41.9015751691268,"regular","Payton CPHS",2006,835,835,218,295,177,145,FALSE
"15","609682","RICHARDS HS","HS",41.8028813757,"District","5009 S Laflin St, 60609",-87.6622778453,"9, 10, 11, 12",-87.6622778458774,41.8028813749748,"regular","Richards HS",2006,474,474,206,104,95,69,FALSE
"16","609691","NORTH-GRAND HS","HS",41.9116736928,"District","4338 W Wabansia Ave, 60639",-87.7352375559,"9, 10, 11, 12",-87.7352375558857,41.911673692067,"regular","North-Grand HS",2006,508,508,254,254,NA,NA,FALSE
"17","609692","SIMEON HS","HS",41.7457812307,"District","8147 S Vincennes Ave, 60620",-87.6354103687,"9, 10, 11, 12",-87.6354103688844,41.7457812302307,"regular","Simeon HS",2006,1638,1638,473,456,406,303,FALSE
