govern,school_id,common_name,year,total,total_hs,g09,g10,g11,g12
regular,610245,Douglass HS,2006,737,384,215,119,50,NA
regular,609695,Amundsen HS,2006,1500,1500,435,438,361,266
regular,609696,Austin HS,2006,580,580,NA,NA,367,213
regular,610402,DeVry Advantage HS,2006,223,223,NA,NA,107,116
regular,609708,Foreman HS,2006,1738,1738,606,504,380,248
regular,609716,Kelvyn Park HS,2006,1694,1694,510,419,371,394
regular,609719,Lake View HS,2006,1439,1439,513,331,291,304
regular,609720,Lane Tech HS,2006,4278,4278,1103,945,1230,1000
regular,609724,Mather HS,2006,1936,1936,578,546,403,409
regular,609691,North-Grand HS,2006,508,508,254,254,NA,NA
regular,609749,Northside CPHS,2006,1042,1042,262,305,267,208
regular,609744,Northside Lrn Ctr HS,2006,259,259,51,71,45,92
regular,609679,Prosser HS,2006,1383,1383,377,373,326,307
regular,610390,Rickover Naval HS,2006,110,110,110,NA,NA,NA
regular,609728,Roosevelt HS,2006,1659,1659,629,424,325,281
regular,609729,Schurz HS,2006,2417,2417,1119,510,350,438
regular,610377,Senn AA HS,2006,142,142,55,87,NA,NA
regular,609730,Senn HS,2006,1492,1492,470,416,366,240
regular,609732,Steinmetz HS,2006,2157,2157,744,510,406,497
regular,609733,Sullivan HS,2006,1093,1093,395,308,308,82
regular,609734,Taft HS,2006,2578,2416,967,596,506,347
regular,610394,Uplift Community HS,2006,312,122,122,NA,NA,NA
regular,609766,Vaughn Occp HS,2006,215,215,51,44,42,78
regular,609737,Von Steuben HS,2006,1531,1531,421,422,322,366
regular,610370,Best Practice HS,2006,374,374,109,77,105,83
regular,610244,Clark Magnet HS,2006,912,770,259,240,208,63
regular,609759,Clemente HS,2006,2384,2384,835,720,412,417
regular,609763,Collins HS,2006,852,852,329,226,157,140
regular,610378,Crane AA HS,2006,320,320,205,115,NA,NA
regular,609702,Crane Tech HS,2006,1038,998,319,240,277,162
regular,609783,"Jefferson, N",2006,412,350,246,98,6,NA
regular,609678,Jones CPHS,2006,734,734,153,209,215,157
